',Tweet,Polaridade,Localizacao
antonellive,RT @mermaidevee: agora eu sou petista desde que nasci #Eleições2018 #SegundoTurno  #HaddadPresidente https://t.co/y5e1Z1hr5q,Positivo,antonelli • nero
lucaas_luucas,"Tenho um vizinho que vai sair na rua atirando pra cima com um 38 se o Bolsonaro ganhar, ctz #Eleições2018",Negativo,
riklukas,"RT @cesaraugfabbri: Segundo turno  🎶🎵""Vai dar PT, vai dar, vai dar PT, vai dar!"" 🎵🎶
#HaddadPresidente #Eleições2018 https://t.co/RhzVXUVBqA",Positivo,Campo Grande Rio de Janeiro
bisnetoferrer,Um homem sábio e sensato! #Eleições2018 #HaddadPresidente https://t.co/4pJazhLXVs,Positivo,"Teresina, Brasil"
laaisealves,RT @tatianesantos: Vamos a #Luta pq ainda resta #esperanca #HaddadPresidente #Haddad13 #AgoraÉHaddad #Eleições2018 #LulaManuHaddad https://…,Positivo,"Recife, Brasil"
lucasdancerofc,RT @Lilu_Alves: @Haddad_Fernando Conte comigo. O amor vencerá o ódio. #HaddadPresidente #eleições2018,Positivo,"Salvador, Brasil"
corujinhaowl,"#EleNão  venceu o 1° turno. Agora é #HaddadPresidente13 
Fascistas não passarão !
#Eleições2018",Negativo,
LauPederzoli,RT @FeDitto1: Meu Sergipe fez bonito 👏👏👏 aqui não! #Eleições2018 #EleNao #HaddadPresidente https://t.co/WwTwQD6XxV,Negativo,La Cámpora - Argentina
LucivanHipolito,"O NE é meu país. Chama o Lula pra ser nosso presidente com Ciro de vice. #Eleições2018 #HaddadPresidente 
#Ciro12",Positivo,
adiosbraga,"Vai ter segundo turno sim..

#Eleições2018 #HaddadPresidente 

@acordar__ https://t.co/O3EslX6svs",Positivo,
FabrcioNatan,"Vamos virar esse jogo logo avante Haddad não vamos entregar assim tão fácil 
#Eleições2018 #HaddadPresidente",Positivo,
KateFGMP,Fui de #Ciro no primeiro turno. PT não é minha preferência. Mas agora sou #HaddadPresidente desde criancinha. #Eleições2018,Positivo,
RafaelComenta,Sou #HaddadPresidente mas o meu coração é do Ciro Gomes! ❤😭 #Eleições2018,Positivo,Bordel da Marisqueira 
bellaazevedoo,"OBRIGADA NORDESTE, VOCÊS SEMPRE NOS SALVANDO 💖 #Eleições2018 #Haddad13 #HaddadPresidente #Nordeste #Ciro12",Positivo,"Rio de Janeiro, Brasil"
eubaralho,"@cirogomes vc n pode ter ganho as eleições, mas ganhou meu coração #ViraViraClR0 #Eleições2018",Positivo,
wesaquino_,"RT @reisvic13: Vc diria não pra este neném? 😍
#ViraViraClR0 #Eleições2018 https://t.co/blQtnWGYQS",Positivo,"Tijuca, Rio de Janeiro"
wesley_freitass,Uma andorinha só não faz verão. O #ViraViraClR0  mostrou ao Brasil como se deve votar. Não é à toa que somos destaq… https://t.co/ZwxkzRgLZZ,Positivo,Icó - Ceará
usecarlos,Que eleições futuras seja Ciro Gomes e Boulos de vice. #ViraViraClR0 #Eleições2018 #,Positivo,
Badoguinho,"A voz do povo é a voz de Deus! 
Esse Vídeo me faz não perder a esperança! 
#eleições2018 #elenão #ViraViraClR0… https://t.co/wxe8aGUmFp",Positivo,"Cícero Dantas, Brasil"
wesley_freitass,Orgulho de ser do único estado em que a maioria dos eleitores votaram de forma racional. #ViraViraClR0 #Eleições2018 #Ceará,Positivo,Icó - Ceará
NlioMartins,RT @TeamCiroGomes: A grandiosa e bela Leila apoiou Ciro lá no DF! Parabéns nova senadora! 👏 #ViraViraClR0 https://t.co/TvXteEWwoy,Positivo,
knjinart,"RT @Badoguinho: A voz do povo é a voz de Deus! 
Esse Vídeo me faz não perder a esperança! 
#eleições2018 #elenão #ViraViraClR0 #Haddad13 #a…",Positivo,
Tete_Psique,"RT @lolligrrrl: ""ELE NÃO, SEM DUVIDA ""

#Eleições2018 #AgoraÉHaddad #ViraViraClR0 https://t.co/2NqBgB7eq7",Positivo,Brasil
GilQueirozOf,"A twitter após o primeiro turno ❤ 
VOTEM NO HADDAD AMORES 
#Eleições2018 #ViraViraClR0 #AgoraÉHaddad #13Neles https://t.co/BOL0wtAnad",Positivo,Espirito Santo 
OPatrickRamon,"Quem vai votar no Haddad da RT AKI SÓ PRA MIN VER UMA COISA 
#eleições2018  #AgoraÉHaddad  #ViraViraClR0",Positivo,"Conselheiro Lafaiete, Brasil"
AmaliaMas,RT @enquetesdf: Dia 28 de outubro é? #ViraViraClR0  #Eleições2018  #PrayForBrazil  #FicaTemer,Positivo,"Jacarepaguá, Rio de Janeiro"
cassiagontijo,RT @enquetesdf: Dia 28 de outubro é? #ViraViraClR0  #Eleições2018  #PrayForBrazil  #FicaTemer,Positivo,Belo Horizonte
RaulRochha,"#Eleições2018
O BOZO NÃO 
O BOZO NÃO 
O BOZO NÃO 
O BOZO NÃO 
O BOZO NÃO 
O BOZO NÃO 
O BOZO NÃO 
O BOZO NÃO 
O BOZO NÃO 
O BOZO NÃO",Negativo,
hoeseokj,RT @brennaccarvalho: A melhor educação do Brasil reflete nas urnas #ViraViraCIR0 #Eleições2018 https://t.co/axVRORW8Rg,Positivo,
DavisiSales,é melhor jair se suicidando #Eleições2018 #ViraViraClR0,Negativo,
3luara1,Brasil eu confio em ti!!  #ViraViraClR0  #Eleições2018,Positivo,
eutoembucetada,RT @fckslaris: AGORA EU QUERO VER O BOZONARO FALAR QUE AS URNAS SÃO UMA FRAUDE #Eleições2018 #ViraViraClR0,Negativo,"Rio de Janeiro, Brasil"
wesley_freitass,Uma andorinha só não faz verão. O #ViraViraClR0  mostrou ao Brasil como se deve votar. Não é à toa que somos destaq… https://t.co/ZwxkzRgLZZ,Positivo,Icó - Ceará
luccanitter,o Ciro é muito meu amorzinho aaa #ViraViraClR0 #Eleições2018 #Ciro12 #CiroPresidente,Positivo,
GilQueirozOf,Quem fez parte desses 12% do Ciro dê RT aqui ❤👏 #ViraViraClR0 #Eleições2018 #Ciro12 #CiroSim https://t.co/PwIL9B4rqX,Positivo,Espirito Santo 
lettersfavs,RT @porvocebia_: Eu quero uma disputa da minha mãe contra o bolso. Ela dobra ele só com o olhar. #ViraViraClR0 #Eleições2018 #EleNao,Negativo,"Rio de Janeiro, Brasil"
GGCria,RT @pecesiqueira: Ces tão elegendo nazistas https://t.co/hiDnJbQ6ZC,Negativo,
zaymon92,"Eu vendo o Ciro confiante na TV 

#Eleições2018 
#ViraViraClR0 https://t.co/nHpQiA7Iwz",Positivo,
mypreciousempty,RT @beyapoc: Eu apagando minha árvore genealógica após ver os parentes que votaram no Bozo #EleNão #ViraViraClR0 #Eleições2018 https://t.co…,Negativo,"Brasília, Brasil"
tired_sunflower,"POHA CEARÁ EU TE AMO
#Eleições2018",Positivo,longe dos embuste
shinobitriste,RT @maslanylife: Bolsonaro só não ganhou no nordeste sabe pq 👇 #Eleições2018 https://t.co/8HRXu5X0Hp,Negativo,"Rio de Janeiro, Brasil"
mayana_teixeira,Hj é um dia tão triste que em nenhum lugar fez sol #Eleições2018,Negativo,"São José dos Pinhais, Brasil"
Veronikah_Silva,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 20h:
Bolsonaro, 48%; Haddad, 26,7%; Ciro, 12,3%; Alckmin, 5%; Am…",Neutro,Suzano - SP.
shadesofsweets,"RT @chocadoney: parabéns, brasil! eu desejo de coração que todos vocês que votaram no bolsonaro coma o pão que o diabo amassou e cuspiu em…",Negativo,
nicoleeeqqqq,"o brasil vai virar um país em que:

mulheres não representam nada
lgbtq+ tem que morrer
o machismo prevalece
racism… https://t.co/6RHaahjwZn",Negativo,"Rio Grande do Sul, Brasil"
BeyGiovannaf,"Eu simplesmente abomino os eleitores do Bolsonaro que sim é igual a ele Machistas, Racistas, Homofóbicos.. e abomin… https://t.co/jYppUoA5hp",Negativo,"Guarujá, Brasil"
naluh132,"RT @RafsNascimento: O dia que vcs perderem um parente/amigo LGBT,negro, ou mulher! 
Vocês vão ver que o Bolsonaro é um merda que vai só aca…",Negativo,Na sua
tay_louise,"As duas palavras mais ditas nesse dia:

MITO

MEDO

Aonde vamos parar?
#Eleições2018 #elenao #mito #medo",Negativo,Manaus
anndrelimaa,"Daqui há 1 ano ...

""Nossa, o país esta uma merda ... ""

Não foi eu que votei em Bolsonaro #Eleições2018",Negativo,Ilha - Rio de Janeiro
RainhaCarminha,"Votei no Ciro e não me arrependo, estou com a consciência tranquila de que fiz a coisa certa e não fui compatível c… https://t.co/01zCfNHLj6",Positivo,Bairro Divino 
BkerKali,Agora vou assistir da minha poltrona os eleitores do Bozo tomarem na rabiosca com um governo que vai ter Onyx Loren… https://t.co/oOvL6Ed4Pg,Negativo,
Ioveally,RT @intoually: agora imagina se esse tanto de votos não tivesse sido desperdiçado e usado com inteligência no Ciro????? BRASILEIRO É UMA RA…,Positivo,
gugafuku,RT @GilQueirozOf: Quem fez parte desses 12% do Ciro dê RT aqui ❤👏 #ViraViraClR0 #Eleições2018 #Ciro12 #CiroSim https://t.co/PwIL9B4rqX,Positivo,"Mogi das Cruzes, Brasil"
deiasgdoceira,O Brasil perdeu SIM em não eleger o Ciro #Brasilchacota  #Eleições2018,Positivo,"Vila Velha, Brasil"
potter_ezequiel,"meu sentimento é medo, ódio e vontade de chorar, tudo ao mesmo tempo

#Eleições2018 https://t.co/1Y4U95U25L",Negativo,
_sahlima,É MELHOR JAIR SE ACOSTUMANDO!  #Eleições2018,Positivo,Belém
PeiFangFon,Só tenho uma coisa a dizer: o sentimento que ficará daqui pra frente será o ódio. #Eleições2018,Negativo,Maceió
srlucasgarcia,"Só acho que o @cirogomes tem que ceder o/a agente publicitário dele pro @Haddad_Fernando pq o/a cara é fera demais

#Eleições2018",Positivo,Rio de Janeiro
babymamba98,O medo é real. #Eleições2018,Negativo,Fifth Harmony
disseinfancia,Ciro tem que apoiar o Haddad !!!  #Eleições2018,Positivo,fan account
SabrinadsCosta,"O pior é que nem impeachment resolve esse porra pq o vice dele tbm é um lixo, estamos ferrados  #ViraViraClR0 #Eleições2018",Negativo,
axthour,"RT @RainhaCarminha: Votei no Ciro e não me arrependo, estou com a consciência tranquila de que fiz a coisa certa e não fui compatível com o…",Positivo,"São Paulo, Brasil"
RodrigoZovka,"#Apuração

#Brasil com 85% das urnas apuradas!

Presidente:

1, Bolsonaro = 47,6%.
2, Haddad = 27,2%.
3, Ciro = 12,4%.

#Eleições2018",Neutro,"Recife, Brasil"
Tammorales,"Mãe Tâmara: se o bozo ganhar a eleição, o povo vai conseguir o que tanto queria - transformar o Brasil em Venezuela… https://t.co/MMbkHGlZCO",Negativo,Se hay gobierno yo soy contra
iamtitillandus,"RT @RainhaCarminha: Já tô Me conformando com o resultado do segundo turno e a vitória do Bolsonaro, ditadura batendo na porta 
Morre o ines…",Negativo,slytherin
jennyfrrr,"Eu quero abraçar o Ciro e proteger de todo mal do mundo, em 2022 a gente se vê bb #Eleições2018",Positivo,♐
ymmili_azevedo,RT @pecesiqueira: Ces tão elegendo nazistas https://t.co/hiDnJbQ6ZC,Negativo,
rafaels_baumann,"RT @agmcinefilo: ciro gomes venceu as #eleições2018 em paris.
#viraviraciro https://t.co/rKqIEp9BZn",Positivo,
Olibrianoo,"Filho do bolsolixo ganhou como senador no Rio de Janeiro. 
Gente vocês tem merda na cabeça?

A Gente fala mas apare… https://t.co/2g0RfXQ9RV",Negativo,"Rio de Janeiro, Brasil"
luancvlcnt,QUANDO EU DIGO QUE PAULISTA NAO SABE VOTAR... ME CRITICAM,Negativo,Ceará-Brasil.
dianaprxnce,paulista é burro pra caralho puta merda,Negativo,
isabellysantss,"RT @UpTrouxa: Sabe o que mais deixa mais revoltada?
ver mulheres, homossexuais negros comemorando a vitória de alguém que só prega ódio con…",Negativo,Rio de Janeiro
TMDude,"Brasil pode ter que aturar Bolsonaro, mas dois lixos não serão senadores: Cristovam Buarque e Magno Malta. Ainda há… https://t.co/ycwQD1EiiS",Negativo,
popstarrouge,RT @NormaniOficial: FAV AQUI VOCÊ QUE TEM ESPERANÇA DE VER O CIRO NO SEGUNDO TURNO #Eleições2018 #ViraViraClR0 https://t.co/dybdcfFp6D,Positivo,
FonsecaDhebora,RT @beyapoc: Eu apagando minha árvore genealógica após ver os parentes que votaram no Bozo #EleNão #ViraViraClR0 #Eleições2018 https://t.co…,Negativo,
ddlibaneo,"RT @nadanovonofront: Não adianta mostrar que é racista.

Se sair um vídeo com o Bolsonaro esquartejando um poodle ainda vão dar um jeito de…",Negativo,Sorocaba-SP
LucivanHipolito,"O NE é meu país. Chama o Lula pra ser nosso presidente com Ciro de vice. #Eleições2018 #HaddadPresidente 
#Ciro12",Positivo,
sissa152001,"#Eleições2018 
Q esses próximos anos sejam melhores.
#Bolsonaro17",Positivo,
ph_itarema,"Fim da apuração!!! 

#CaboDaciolo É o novo presidente do Brasil!! 

-Glória a Deuxxxxxxxxxxxx!!
Kkkkk

#tre #Eleições2018 #mito",Positivo,"Itarema, Brasil"
HaroldoBento,Como não amar o Cabo Daciolo?,Positivo,Rio de Janeiro
stanIouisoIo,se bolsonaro for eleito no primeiro turno eu morro sem brincadeira eu tô quase chorando pqp,Negativo,
ricarto89,Essa # do Ciro é a maior mentira que eu já vi por aqui!!! Que vergonha... que VERGONHA. #Eleições2018 #Bolsonaro17… https://t.co/xYrHURVBt0,Negativo,BRASIL
Lucashdf,"#17Neles 
Eu confio! 
Primeiro turno é nosso!

#eleições2018 
#FraudeNasUrnasEletronicas",Positivo,Goiás
stavaresoficial,"Nosso futuro presidente @cirogomes, nossa esperança está em você e no Nordeste Brasileiro! #ViraViraClR0 #Eleições2018 #SamuelTavares",Positivo,"Limeira, São Paulo, Brasil"
bbbygoo,"RT @bchartsnet: Boca de Urna para Presidente IBOPE:

Jair Bolsonaro (PSL) 45%
Fernando Haddad (PT) 28%
Ciro Gomes (PDT) 14%

#Eleições2018",Neutro,
Yaya__SG,Nos votos válidos a Marina conseguiu ficar abaixo do amoedo. Meu Deus Marina.,Negativo,neocity
MyLoovee1D,"Vai ter segundo turno e aparentemente vai ser Bolsonaro x Haddad, socorro! #Eleições2018",Negativo,Brasil
alfenava,Segundo turno pode ser entre Haddad e Bolsorabo sou petista desde criançinha #Eleições2018,Positivo,De um lugar não tão distante
Keesia1D,"RT @chrisPLgalvao: #OBrasilVota17!
Bolsonaro será o presidente do Brasil!
Amém! https://t.co/WrLZLsjcQg",Positivo,"Rio de Janeiro, Brasil"
rreiisbabi,RT @LittleHazLou: me arrumando pra ir salvar o Brasil da ditadura #ViraVirouHaddad https://t.co/pg4zowHM4D,Positivo,Brasília
guxcomenta,RT @FilipeRet: #ViraVirouHaddad chegou a hora ! Indecisos e nulos vem com nósssss,Positivo,"Rio de Janeiro, Brasil"
martim_graciele,"RT @gagaagay: É PELA DEMOCRACIA 
É PELA LIBERDADE 
É PELO RESPEITO 
VOTEM 13
ELE NÃO 
ELE NUNCA 
#ViraVirouHaddad https://t.co/OR150cdZCL",Positivo,"Distrito Federal, Brasil"
JoaoOctavioM,RT @ilyjawregui: VOTEM NO 13 VOTEM CONSCIENTE VOTEM NO HADDAD VOTEM PELA DEMOCRACIA TENHA PLENA CONSCIÊNCIA QUE VOTANDO NO BOZO VOCÊ ESTARÁ…,Positivo,Indaiatuba
Douglas53400860,"RT @MarcilioTwitte: É melhor Jair se acostumando #B17
#OBrasilVota17",Positivo,
busaanbf,"RT @cml_beatriz: Hoje vote 13 

Vote pelo seu amigo gay 
Vote pelo seu amigo negro 
Vote pelas mulheres 
Vote pelo seu sonhos 
Vote pelo se…",Positivo,
Dani02116,"RT @kbddan: HOJE VAMOS BOTAR UMA PÁ DE CAL NO SEPULTAMENTO DO PT
Vamos enterrar essa quadrilha criminosa que por 13 anos assaltou e destrui…",Negativo,
SoltanoUniverso,"Vira pela democracia, Vira pela Educação, Vira pelo povo e Vira pelo Brasil. #ViraVirouHaddad",Positivo,
ol_alex,RT @LittleHazLou: me arrumando pra ir salvar o Brasil da ditadura #ViraVirouHaddad https://t.co/pg4zowHM4D,Positivo,Brasil
NayeTah,"RT @pedroaraagao: precisamos unir forças e se juntar contra o ódio 
HOJE É 13
 #ViraVotoHaddad13 #ViraVirouHaddad https://t.co/pMQBR7ZI1W",Positivo,
Jhonatapontes3,RT @Evelyn_fernand3: Pessoal é só apertar o 13 confirmar e sair correndo fingindo demência #ViraVirouHaddad é tudo pela democracia desse pa…,Positivo,"Tabatinga, Brasil"
tania_tpimentel,"RT @chicocoins: #OBrasilVota17
Petralhas estão jogando sujo (vamos dar uma resposta)
bom 17
é 17
17 neles
bolsonaro 17
votem 17
apertei 17…",Positivo,Juiz de Fora - MG - Brazil
Nando_FX5,"RT @ProfRicardo29: Eu voto em Jair Bolsonaro, minha esposa vota em Jair Bolsonaro, ganhei uns 30 votos pra ele, fiz o que pude pra desmenti…",Positivo,Brasil
MPBLoveBr,"RT @chmayers: Quando apertei o 13 vi o rosto de Haddad, eu sorri pra ele, ele sorriu pra mim e disse que daria tudo certo e eu conformei #V…",Positivo,Treasure Island
juliafreignan,"RT @Mariessa_MJ: Chegou a vez de Bolsonaro ser presidente.
PT NUNCA MAIS! 

#OBrasilVota17 https://t.co/dWu7UIjEZc",Positivo,errexota
Briih_Hemmings,"RT @irwinpoet: Tirei essa foto do meu namorado quando estávamos indo votar

O boy de vcs é tão civilizado quanto o meu? #Haddad13 #ViraViro…",Positivo,
___jander,RT @karemlori: A minha vó nem sai mais de casa... hoje ela saiu e disse que tava indo só pra fazer a diferença com o 13. #ViraVirouHaddad h…,Positivo,"Vitória, Brasil"
brsouzarose,RT @giovanni_abrao: Não é só tirar o PT do poder. É fazer um governo tão bom e digno que os impeça de voltar.  #OBrasilVota17 https://t.co/…,Positivo,Brazil
gubm24s,"Eu tenho esperanças
Eu acredito no meu povo que luta e insiste no bem pra todos
#ViraVirouHaddad https://t.co/huIsCGQIKS",Positivo,"São Paulo, Brasil"
thinkboutulots,RT @jadebaraldo: Não deixe seu antipetismo superar o amor pela vida do próximo #viravirouhaddad #eleicao2018,Positivo,"485 W 46th Street, New York"
544Queiroz,"RT @Rodrigo64704052: Tomando meu café opressor
Jajá vamos confirma 17
#OBrasilVota17 https://t.co/qEvUFmvxD4",Positivo,Macaé - RJ 
gabriela_zwang,"Mais um domingo exercendo a democracia para exercê-la sempre. 

#ViraVirouHaddad https://t.co/l1w6Vwwdh0",Positivo,Pertinho do sol
MCunha47904513,"RT @neel00007: #OBrasilVota17 Fui votar com a minha camisa maneira, a mesária ficou olhando acho q ela era fã  do Mito  tbm. https://t.co/s…",Positivo,
elaaine_silva,"RT @nasseroficial: Não é pelo PT
Não é pelo Haddad

É pelo bem maior que eu acredito, pela democracia e pela batalha de muitos que podem so…",Positivo,no seu corasao
Diogenes_Arruda,"RT @CarlaLukschal: Ordem e progresso é o que nós precisamos e queremos. 😎😎😎
#OBrasilVota17 #APesardoPToBrasilVaiVencerB17 https://t.co/L6H5…",Positivo,Belo Horizonte
suzanny007,"RT @Samucatezu1: Ae, essa foi a eleição mais triste que eu já vi",Negativo,"Guarujá, Brasil"
isabeladmaia,"RT @blogdojefferson: Os petistas perdem uma eleição no voto, de forma legítima e incontestável, e Haddad vem falar que o partido vai contin…",Negativo,
s4mili,"RT @UJSBRASIL: Hoje é dia de bondade, liberdade e fraternidade. É dia de votar no professor. #Haddad13 #ManuNoJaburu #ViraVirouHaddad https…",Positivo,
VanessaAdmin,RT @esquerdanao: Bolsonaro fez questão de acenar para a população 🇧🇷 #OBrasilVota17 https://t.co/80e5gRPCvO,Neutro,
shata42,RT @giovanni_abrao: Não é só tirar o PT do poder. É fazer um governo tão bom e digno que os impeça de voltar.  #OBrasilVota17 https://t.co/…,Positivo,"Cuiabá, Brasil"
NaldoTC,"RT @RaianyMirelly: Pesquisa Rápida:
Em quem vocês votariam para ser presidente ?

#EuVotoBolsonaro
#ViraViraClR0
#eleicao2018
#EleiçõesRBS2…",Neutro,"São Paulo, Brasil"
edu1russo,RT @123russo_edu: Hj é dia de mudança #17neles #eleicao2018 #b17,Positivo,
biacatarin,"Chegou o dia, votem consciente ❤️
#ViraViraCiro12  #ViraViraClR0 #ViraViraClRO #Ciro12  #eleicao2018 #CiroSim… https://t.co/RXWdOjxlWB",Positivo,"Poços de Caldas, Brasil"
FernandaMixalhs,Na hora de votar vai se bege afff mas o vermelho está dentro dela #eleicao2018 #bolsonaro #EleSimENo1Turno https://t.co/DlanLzYC60,Positivo,greece
Biel_dlafer,"#eleicao2018  
Bora lá Bolsonaro 
#EleSim  VOTA 12",Positivo,No Seu Coração BB
Eloisa77089175,"Se é necessário fraudar é porque já sabe quem vai ganhar

#EleSim #Bolsonaro17 #Bolsonaro #EleicoesRBS2018… https://t.co/9X3KUm4Za2",Positivo,"Brasília, Brasil"
Nandosilva10,Partiu votação!!! Bolsonaro 17 #EleSim #elesimbolsonaro17 #EleSimENo1oTurno #eleicao2018 https://t.co/ZaFl7SanZO,Positivo,Rio de Janeiro
caca_camilota,"Onde nos fomos parar, hein. Já posso dizer que a culpa não é minha, não votei no coiso?! Tempos sombrios #Eleições2018 #EleNão",Negativo,"Minas Gerais, Brasil"
coisasqsoviemvc,"eu queria que tudo isso fosse um pesadelo ou a realidade invertida de stranger things 
não consigo acreditar 
#Eleições2018 #EleNão",Negativo,"São Paulo, Brasil"
nana_mendes,"Minha mãe resumindo nossa situação
#EleNão 
#Eleições2018 https://t.co/HHeEbn1eW7",Negativo,"São Paulo, Brasil"
JoaoFiguer,"A Bahia, estado-mãe do Brasil, tentando salvar seu filho das profundezas do inferno! #Elenão #Eleições2018 https://t.co/axc0d91ko5",Negativo,"Salvador, Bahia"
_jujulina,"RT @sabrinanaquino: Esse é o Brasil que eu quero.

#EleNão #Eleições2018 https://t.co/bJfaqlmiso",Negativo,Montevideo 
geovanimarques7,"Partiu nordeste ! 
Amo o nordeste vcs são foda!!
#ViraViraClR0 #Eleições2018 #ELENÃO https://t.co/bct3R7xYvy",Negativo,Macapá-Ap
eitaapreta,"RT @ericaAbreeuu: Gente ,votem com consciência por favor 😓🙌
#EleNão #EleNunca #EleJamais #Eleições2018",Negativo,Campo grande 
mochimonbebe,RT @beyapoc: Eu apagando minha árvore genealógica após ver os parentes que votaram no Bozo #EleNão #ViraViraClR0 #Eleições2018 https://t.co…,Negativo,"São Paulo, Brasil"
Amandaparacy,O que está acontecendo é que vamos ter que engolir o Bolso. #Eleições2018 #elenão,Negativo,Pelotas - Rio Grande do Sul
nana_mendes,"O povo sofrido salva
#EleNão 
#Eleições2018",Negativo,"São Paulo, Brasil"
Ziiago17,RT @dconline: Resultado: Jair Bolsonaro (PSL) e Fernando Haddad (PT) irão disputar segundo turno https://t.co/AsTXxUEHll #Eleições2018 #Ele…,Neutro,"Florianópolis, Brasil"
CamilaNaiara18,"Vai ter segundo turno graças ao NORDESTE! Vamos salvar esse país, porra!!! #EuAcredito ! #EleNão",Negativo,Salvador - Bahia - Brasil
micabrera11,"Obrigada, nordeste. Obrigada, Bahia, o estado mais preto do Brasil sabe na pele o que é sentir medo.

#Eleições2018 #EleNão #NotHim #ElNo",Negativo,
oDiegoReis,"Seis ficam falando do Daciolo aí... Quero ver ele daqui há 4 anos.

O coiso começou da mesma forma.

#Eleições2018 #EleNão",Negativo,
buca_camara,"Em um país que mais mata LGBT, por mais triste que seja, não é de surpreender esse resultado... #Eleições2018 #EleNão",Negativo,"Rio de Janeiro, RJ"
EuSouEu12414935,"Opinião eu respeito, fascismo a gente combate!
#EleNão #elenunca #Eleições2018",Negativo,"Centro, Rio de Janeiro"
AnittaReina35,RT @CentralAnittaFm: Anitters se preparem porque ja estão atacando a Anitta. #Eleições2018 #EleNão,Negativo,
NaldoTC,"RT @RaianyMirelly: Pesquisa Rápida:
Em quem vocês votariam para ser presidente ?

#EuVotoBolsonaro
#ViraViraClR0
#eleicao2018
#EleiçõesRBS2…",Neutro,"São Paulo, Brasil"
edu1russo,RT @123russo_edu: Hj é dia de mudança #17neles #eleicao2018 #b17,Positivo,
biacatarin,"Chegou o dia, votem consciente ❤️
#ViraViraCiro12  #ViraViraClR0 #ViraViraClRO #Ciro12  #eleicao2018 #CiroSim… https://t.co/RXWdOjxlWB",Positivo,"Poços de Caldas, Brasil"
FernandaMixalhs,Na hora de votar vai se bege afff mas o vermelho está dentro dela #eleicao2018 #bolsonaro #EleSimENo1Turno https://t.co/DlanLzYC60,Positivo,greece
Biel_dlafer,"#eleicao2018  
Bora lá Bolsonaro 
#EleSim  VOTA 12",Positivo,No Seu Coração BB
Eloisa77089175,"Se é necessário fraudar é porque já sabe quem vai ganhar

#EleSim #Bolsonaro17 #Bolsonaro #EleicoesRBS2018… https://t.co/9X3KUm4Za2",Positivo,"Brasília, Brasil"
Nandosilva10,Partiu votação!!! Bolsonaro 17 #EleSim #elesimbolsonaro17 #EleSimENo1oTurno #eleicao2018 https://t.co/ZaFl7SanZO,Positivo,Rio de Janeiro
caca_camilota,"Onde nos fomos parar, hein. Já posso dizer que a culpa não é minha, não votei no coiso?! Tempos sombrios #Eleições2018 #EleNão",Negativo,"Minas Gerais, Brasil"
coisasqsoviemvc,"eu queria que tudo isso fosse um pesadelo ou a realidade invertida de stranger things 
não consigo acreditar 
#Eleições2018 #EleNão",Negativo,"São Paulo, Brasil"
nana_mendes,"Minha mãe resumindo nossa situação
#EleNão 
#Eleições2018 https://t.co/HHeEbn1eW7",Negativo,"São Paulo, Brasil"
JoaoFiguer,"A Bahia, estado-mãe do Brasil, tentando salvar seu filho das profundezas do inferno! #Elenão #Eleições2018 https://t.co/axc0d91ko5",Negativo,"Salvador, Bahia"
_jujulina,"RT @sabrinanaquino: Esse é o Brasil que eu quero.

#EleNão #Eleições2018 https://t.co/bJfaqlmiso",Negativo,Montevideo 
geovanimarques7,"Partiu nordeste ! 
Amo o nordeste vcs são foda!!
#ViraViraClR0 #Eleições2018 #ELENÃO https://t.co/bct3R7xYvy",Negativo,Macapá-Ap
eitaapreta,"RT @ericaAbreeuu: Gente ,votem com consciência por favor 😓🙌
#EleNão #EleNunca #EleJamais #Eleições2018",Negativo,Campo grande 
mochimonbebe,RT @beyapoc: Eu apagando minha árvore genealógica após ver os parentes que votaram no Bozo #EleNão #ViraViraClR0 #Eleições2018 https://t.co…,Negativo,"São Paulo, Brasil"
Amandaparacy,O que está acontecendo é que vamos ter que engolir o Bolso. #Eleições2018 #elenão,Negativo,Pelotas - Rio Grande do Sul
nana_mendes,"O povo sofrido salva
#EleNão 
#Eleições2018",Negativo,"São Paulo, Brasil"
Ziiago17,RT @dconline: Resultado: Jair Bolsonaro (PSL) e Fernando Haddad (PT) irão disputar segundo turno https://t.co/AsTXxUEHll #Eleições2018 #Ele…,Neutro,"Florianópolis, Brasil"
CamilaNaiara18,"Vai ter segundo turno graças ao NORDESTE! Vamos salvar esse país, porra!!! #EuAcredito ! #EleNão",Negativo,Salvador - Bahia - Brasil
micabrera11,"Obrigada, nordeste. Obrigada, Bahia, o estado mais preto do Brasil sabe na pele o que é sentir medo.

#Eleições2018 #EleNão #NotHim #ElNo",Negativo,
oDiegoReis,"Seis ficam falando do Daciolo aí... Quero ver ele daqui há 4 anos.

O coiso começou da mesma forma.

#Eleições2018 #EleNão",Negativo,
buca_camara,"Em um país que mais mata LGBT, por mais triste que seja, não é de surpreender esse resultado... #Eleições2018 #EleNão",Negativo,"Rio de Janeiro, RJ"
EuSouEu12414935,"Opinião eu respeito, fascismo a gente combate!
#EleNão #elenunca #Eleições2018",Negativo,"Centro, Rio de Janeiro"
AnittaReina35,RT @CentralAnittaFm: Anitters se preparem porque ja estão atacando a Anitta. #Eleições2018 #EleNão,Negativo,
